$ sudo journalctl -u device-manager --since "3 minutes ago" | tail -50
Jan 25 19:34:19 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:19.003Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":3,"voltage2":0.04115869849920273,"todayParkedMinutes":1174,"monthParkedMinutes":28105,"completedDaysMinutes":26931,"parkedSince":"2025-12-23T05:46:33.423Z"}
Jan 25 19:34:21 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:21.013Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":8,"voltage2":0.041747305542230606,"todayParkedMinutes":1174,"monthParkedMinutes":29614,"completedDaysMinutes":28440,"parkedSince":"2025-12-29T23:27:57.493Z"}
Jan 25 19:34:22 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:22.423Z","level":"info","message":"Refreshing device list","service":"device-manager"}
Jan 25 19:34:22 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:22.428Z","level":"info","message":"Skipping devices with inactive trucks","service":"device-manager","devices":[{"name":"DCL-Elite-Hospitality","truck":"TRK-01"},{"name":"DCL-Thibert","truck":"RTR-01"}]}
Jan 25 19:34:22 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:22.428Z","level":"info","message":"Device list refreshed","service":"device-manager","total":10,"added":0,"removed":0,"newDevices":[]}
Jan 25 19:34:23 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:23.020Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":9,"voltage2":0.03738020732998848,"todayParkedMinutes":1174,"monthParkedMinutes":29103,"completedDaysMinutes":27929,"parkedSince":"2025-12-29T23:36:00.503Z"}
Jan 25 19:34:25 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:25.027Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":12,"voltage2":0.042692944407463074,"todayParkedMinutes":1174,"monthParkedMinutes":35172,"completedDaysMinutes":33998,"parkedSince":"2025-12-30T22:17:33.057Z"}
Jan 25 19:34:26 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:26.169Z","level":"info","message":"Skipping devices with inactive trucks","service":"device-manager","devices":[{"name":"DCL-Elite-Hospitality","truck":"TRK-01"},{"name":"DCL-Thibert","truck":"RTR-01"}]}
Jan 25 19:34:27 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:27.034Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":4,"voltage2":0.0004169242165517062,"todayParkedMinutes":1174,"monthParkedMinutes":15413,"completedDaysMinutes":14239,"parkedSince":"2026-01-24T18:50:26.490Z"}
Jan 25 19:34:27 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:27.039Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":11,"voltage2":0.047331951558589935,"todayParkedMinutes":1174,"monthParkedMinutes":29522,"completedDaysMinutes":28348,"parkedSince":"2025-12-29T23:38:54.005Z"}
Jan 25 19:34:27 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:27.043Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":10,"voltage2":0.03924931213259697,"todayParkedMinutes":1174,"monthParkedMinutes":32809,"completedDaysMinutes":31635,"parkedSince":"2025-12-29T23:38:19.012Z"}
Jan 25 19:34:29 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:29.051Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":7,"voltage2":0.0375940278172493,"todayParkedMinutes":1174,"monthParkedMinutes":30027,"completedDaysMinutes":28853,"parkedSince":"2025-12-29T23:22:12.507Z"}
Jan 25 19:34:31 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:31.064Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":5,"voltage2":0.036900222301483154,"todayParkedMinutes":1175,"monthParkedMinutes":29016,"completedDaysMinutes":27841,"parkedSince":"2025-12-03T17:15:48.621Z"}
Jan 25 19:34:33 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:33.169Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":3,"voltage2":0.04065230116248131,"todayParkedMinutes":1175,"monthParkedMinutes":28106,"completedDaysMinutes":26931,"parkedSince":"2025-12-23T05:46:33.423Z"}
Jan 25 19:34:33 ip-10-0-12-126 start.sh[2380597]: {"timestamp":"2026-01-25T19:34:33.174Z","level":"info","message":"Truck parked - accumulating time","service":"device-manager","deviceId":8,"voltage2":0.04170142859220505,"todayParkedMinutes":1175,"monthParkedMinutes":29615,"completedDaysMinutes":28440,"parkedSince":"2025-12-29T23:27:57.493Z"}
$
